Label,Type,Class,Post Label,Placeholder,Maxlength,Size,Required,Validation,Lookups,Textbox binding to foreign database TABLE.FIELD,
Sample Taken (Yes/No) ,CheckBox,standard input,,,,,,,,AREASMT.SAMPFLAG,Does this match up with the are.import.ini allocation?
Sampling Method,DropDown,standard input,,,2,2,,,"AI,AS,PA",SAMPLES.COLLMETH,
BOTTLE NUMBER,Textbox,standard input,,,20,20,TRUE,,,SAMPLES.BOTTLE,
SAMPLE NUMBER,Textbox,standard input,,,30,30,TRUE,,,SAMPLES.SAMPNUM,
BOTTLE TYPE,DropDown,standard input,,,,,,,"amber glass,plastic",SAMPLES.SPARE2,
Sample Type,Label,SubSubHeading,,,,,,,,,
PRIMARY,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIP BLANK,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIP SPIKE,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
Sample Comment,TextArea,"rows=""4"" cols=""50",,,64000,"rows=""4"" cols=""50",,,,SAMPLES.COMMNT,
